input_accession	downloaded_accession	assembly_name	taxid	organism_name	infraspecific_name	version_status	assembly_level	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000013005.1	GCF_000013005.1	ASM1300v1	314225	Erythrobacter litoralis HTCC2594	strain=HTCC2594	latest	Complete Genome	14	14	93.33	0.00
GCF_000011105.1	GCF_000011105.1	ASM1110v1	70601	Pyrococcus horikoshii OT3	strain=OT3	latest	Complete Genome	14	14	93.33	0.00
GCF_000010345.1	GCF_000010345.1	ASM1034v1	387093	Sulfurovum sp. NBC37-1	strain=NBC37-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000007305.1	GCF_000007305.1	ASM730v1	186497	Pyrococcus furiosus DSM 3638	strain=DSM 3638	latest	Complete Genome	14	14	93.33	0.00
GCF_000007225.1	GCF_000007225.1	ASM722v1	178306	Pyrobaculum aerophilum str. IM2	strain=IM2	latest	Complete Genome	14	14	93.33	0.00
GCF_000008465.1	GCF_000008465.1	ASM846v1	283942	Idiomarina loihiensis L2TR	strain=L2TR	latest	Complete Genome	14	14	93.33	0.00
GCF_000012885.1	GCF_000012885.1	ASM1288v1	338963	Pelobacter carbinolicus DSM 2380	strain=DSM 2380	latest	Complete Genome	14	14	93.33	0.00
GCF_000009365.1	GCF_000009365.1	ASM936v1	393595	Alcanivorax borkumensis SK2	strain=SK2	latest	Complete Genome	14	14	93.33	0.00
GCF_000012805.1	GCF_000012805.1	ASM1280v1	323261	Nitrosococcus oceani ATCC 19707	strain=ATCC 19707; JCM30415 (Type strain)	latest	Complete Genome	14	14	93.33	0.00
GCF_000009785.1	GCF_000009785.1	ASM978v1	235909	Geobacillus kaustophilus HTA426	strain=HTA426	latest	Complete Genome	14	14	93.33	0.00
GCF_000011805.1	GCF_000011805.1	ASM1180v1	312309	Aliivibrio fischeri ES114	strain=ES114	latest	Complete Genome	14	14	93.33	0.00
GCF_000013045.1	GCF_000013045.1	ASM1304v1	309807	Salinibacter ruber DSM 13855	strain=DSM 13855; M31	latest	Complete Genome	14	13	86.67	6.67
GCF_000010985.1	GCF_000010985.1	ASM1098v1	639282	Deferribacter desulfuricans SSM1	strain=SSM1	latest	Complete Genome	14	14	93.33	0.00
GCF_000013025.1	GCF_000013025.1	ASM1302v1	228405	Hyphomonas neptunium ATCC 15444	strain=ATCC 15444	latest	Complete Genome	14	14	93.33	0.00
GCF_000011245.1	GCF_000011245.1	ASM1124v1	221109	Oceanobacillus iheyensis HTE831	strain=HTE831	latest	Complete Genome	14	14	93.33	0.00
GCF_000011965.2	GCF_000011965.2	ASM1196v2	246200	Ruegeria pomeroyi DSS-3	strain=DSS-3	latest	Complete Genome	14	14	93.33	0.00
GCF_000010105.1	GCF_000010105.1	ASM1010v1	234621	Rhodococcus erythropolis PR4	strain=PR4	latest	Complete Genome	14	14	93.33	0.00
GCF_000013565.1	GCF_000013565.1	ASM1356v1	290400	Jannaschia sp. CCS1	strain=CCS1	latest	Complete Genome	14	14	93.33	0.00
GCF_000015145.1	GCF_000015145.1	ASM1514v1	415426	Hyperthermus butylicus DSM 5456	strain=DSM 5456	latest	Complete Genome	14	14	93.33	0.00
GCF_000015245.1	GCF_000015245.1	ASM1524v1	326297	Shewanella amazonensis SB2B	strain=SB2B	latest	Complete Genome	14	14	93.33	0.00
GCF_000015105.1	GCF_000015105.1	ASM1510v1	413404	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	strain=Cm	latest	Complete Genome	14	14	93.33	0.00
GCF_000015185.1	GCF_000015185.1	ASM1518v1	351745	Shewanella sp. W3-18-1	strain=W3-18-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000014865.1	GCF_000014865.1	ASM1486v1	156889	Magnetococcus marinus MC-1	strain=MC-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000015285.1	GCF_000015285.1	ASM1528v1	357804	Psychromonas ingrahamii 37	strain=37	latest	Complete Genome	14	14	93.33	0.00
GCF_000017945.1	GCF_000017945.1	ASM1794v1	453591	Ignicoccus hospitalis KIN4/I	strain=KIN4/I	latest	Complete Genome	14	14	93.33	0.00
GCF_000015945.1	GCF_000015945.1	ASM1594v1	399550	Staphylothermus marinus F1	strain=F1	latest	Complete Genome	14	14	93.33	0.00
GCF_000015965.1	GCF_000015965.1	ASM1596v1	167546	Prochlorococcus marinus str. MIT 9301	strain=MIT 9301	latest	Complete Genome	14	14	93.33	0.00
GCF_000016065.1	GCF_000016065.1	ASM1606v1	323850	Shewanella loihica PV-4	strain=PV-4	latest	Complete Genome	14	14	93.33	0.00
GCF_000018025.1	GCF_000018025.1	ASM1802v1	425104	Shewanella sediminis HAW-EB3	strain=HAW-EB3	latest	Complete Genome	14	14	93.33	0.00
GCF_000015365.1	GCF_000015365.1	ASM1536v1	351348	Marinobacter hydrocarbonoclasticus VT8	strain=VT8	latest	Complete Genome	14	14	93.33	0.00
GCF_000015685.1	GCF_000015685.1	ASM1568v1	167555	Prochlorococcus marinus str. NATL1A	strain=NATL1A	latest	Complete Genome	14	14	93.33	0.00
GCF_000018265.1	GCF_000018265.1	ASM1826v1	391037	Salinispora arenicola CNS-205	strain=CNS-205	latest	Complete Genome	14	14	93.33	0.00
GCF_000014705.1	GCF_000014705.1	ASM1470v1	318167	Shewanella frigidimarina NCIMB 400	strain=NCIMB 400	latest	Complete Genome	14	14	93.33	0.00
GCF_000018365.1	GCF_000018365.1	ASM1836v1	523850	Thermococcus onnurineus NA1	strain=NA1	latest	Complete Genome	14	14	93.33	0.00
GCF_000018285.1	GCF_000018285.1	ASM1828v1	398579	Shewanella pealeana ATCC 700345	strain=ATCC 700345	latest	Complete Genome	14	14	93.33	0.00
GCF_000018485.1	GCF_000018485.1	ASM1848v1	444158	Methanococcus maripaludis C6	strain=C6	latest	Complete Genome	14	14	93.33	0.00
GCF_000018065.1	GCF_000018065.1	ASM1806v1	93060	Prochlorococcus marinus str. MIT 9215	strain=MIT 9215	latest	Complete Genome	14	14	93.33	0.00
GCF_000018585.1	GCF_000018585.1	ASM1858v1	93059	Prochlorococcus marinus str. MIT 9211	strain=MIT 9211	latest	Chromosome	14	14	93.33	0.00
GCF_000018765.1	GCF_000018765.1	ASM1876v1	399599	Shewanella baltica OS195	strain=OS195	latest	Complete Genome	14	14	93.33	0.00
GCF_000016885.1	GCF_000016885.1	ASM1688v1	349106	Psychrobacter sp. PRwf-1	strain=PRwf-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000018885.1	GCF_000018885.1	ASM1888v1	288705	Renibacterium salmoninarum ATCC 33209	strain=ATCC 33209	latest	Complete Genome	14	14	93.33	0.00
GCF_000014685.1	GCF_000014685.1	ASM1468v1	60480	Shewanella sp. MR-4	strain=MR-4	latest	Complete Genome	14	14	93.33	0.00
GCF_000017185.1	GCF_000017185.1	ASM1718v1	419665	Methanococcus aeolicus Nankai-3	strain=Nankai-3	latest	Complete Genome	14	14	93.33	0.00
GCF_000018945.1	GCF_000018945.1	ASM1894v1	309803	Thermotoga neapolitana DSM 4359	strain=DSM 4359	latest	Complete Genome	14	14	93.33	0.00
GCF_000018145.1	GCF_000018145.1	ASM1814v1	398580	Dinoroseobacter shibae DFL 12 = DSM 16493	strain=DFL 12	latest	Complete Genome	14	14	93.33	0.00
GCF_000019485.1	GCF_000019485.1	ASM1948v1	32049	Synechococcus sp. PCC 7002	strain=PCC 7002	latest	Complete Genome	14	14	93.33	0.00
GCF_000019625.1	GCF_000019625.1	ASM1962v1	126740	Thermotoga sp. RQ2	strain=RQ2	latest	Complete Genome	14	14	93.33	0.00
GCF_000017225.1	GCF_000017225.1	ASM1722v1	426368	Methanococcus maripaludis C7	strain=C7	latest	Complete Genome	14	14	93.33	0.00
GCF_000019525.1	GCF_000019525.1	ASM1952v1	392500	Shewanella woodyi ATCC 51908	strain=ATCC 51908	latest	Complete Genome	14	14	93.33	0.00
GCF_000018105.1	GCF_000018105.1	ASM1810v1	329726	Acaryochloris marina MBIC11017	strain=MBIC11017	latest	Complete Genome	14	14	93.33	0.00
GCF_000019185.1	GCF_000019185.1	ASM1918v1	458817	Shewanella halifaxensis HAW-EB4	strain=HAW-EB4	latest	Complete Genome	14	14	93.33	0.00
GCF_000020365.1	GCF_000020365.1	ASM2036v1	177437	Desulfobacterium autotrophicum HRM2	strain=HRM2	latest	Complete Genome	14	14	93.33	0.00
GCF_000017705.1	GCF_000017705.1	ASM1770v1	338187	Vibrio campbellii ATCC BAA-1116	strain=ATCC BAA-1116; BB120	latest	Complete Genome	14	14	93.33	0.00
GCF_000015665.1	GCF_000015665.1	ASM1566v1	167542	Prochlorococcus marinus str. MIT 9515	strain=MIT 9515	latest	Complete Genome	14	14	93.33	0.00
GCF_000017285.1	GCF_000017285.1	ASM1728v1	400668	Marinomonas sp. MWYL1	strain=MWYL1	latest	Complete Genome	14	14	93.33	0.00
GCF_000017325.1	GCF_000017325.1	ASM1732v1	402882	Shewanella baltica OS185	strain=OS185	latest	Complete Genome	14	14	93.33	0.00
GCF_000014885.1	GCF_000014885.1	ASM1488v1	225849	Shewanella piezotolerans WP3	strain=WP3	latest	Complete Genome	13	13	86.67	0.00
GCF_000015845.1	GCF_000015845.1	ASM1584v1	325240	Shewanella baltica OS155	strain=OS155	latest	Complete Genome	14	14	93.33	0.00
GCF_000020585.3	GCF_000020585.3	ASM2058v3	1774373	Alteromonas mediterranea DE	strain=DE	latest	Complete Genome	14	14	93.33	0.00
GCF_000020845.1	GCF_000020845.1	ASM2084v1	388396	Aliivibrio fischeri MJ11	strain=MJ11	latest	Chromosome	14	14	93.33	0.00
GCF_000020865.1	GCF_000020865.1	ASM2086v1	498217	Edwardsiella tarda EIB202	strain=EIB202	latest	Complete Genome	14	14	93.33	0.00
GCF_000021725.1	GCF_000021725.1	ASM2172v1	598659	Nautilia profundicola AmH	strain=AmH	latest	Complete Genome	14	14	93.33	0.00
GCF_000021665.1	GCF_000021665.1	ASM2166v1	407976	Shewanella baltica OS223	strain=OS223	latest	Complete Genome	14	14	93.33	0.00
GCF_000022365.1	GCF_000022365.1	ASM2236v1	593117	Thermococcus gammatolerans EJ3	strain=EJ3; DSM 15229	latest	Complete Genome	14	14	93.33	0.00
GCF_000023445.1	GCF_000023445.1	ASM2344v1	526222	Desulfovibrio salexigens DSM 2638	strain=DSM 2638	latest	Complete Genome	14	14	93.33	0.00
GCF_000023325.1	GCF_000023325.1	ASM2332v1	521045	Kosmotoga olearia TBF 19.5.1	strain=TBF 19.5.1	latest	Complete Genome	14	14	93.33	0.00
GCF_000023925.1	GCF_000023925.1	ASM2392v1	478801	Kytococcus sedentarius DSM 20547	strain=DSM 20547	latest	Complete Genome	14	14	93.33	0.00
GCF_000023785.1	GCF_000023785.1	ASM2378v1	582402	Hirschia baltica ATCC 49814	strain=ATCC 49814	latest	Complete Genome	14	14	93.33	0.00
GCF_000023985.1	GCF_000023985.1	ASM2398v1	573064	Methanocaldococcus fervens AG86	strain=AG86	latest	Complete Genome	14	14	93.33	0.00
GCF_000024625.1	GCF_000024625.1	ASM2462v1	579137	Methanocaldococcus vulcanius M7	strain=M7	latest	Complete Genome	14	14	93.33	0.00
GCF_000024465.1	GCF_000024465.1	ASM2446v1	488538	Candidatus Puniceispirillum marinum IMCC1322	strain=IMCC1322	latest	Complete Genome	14	14	93.33	0.00
GCF_000024125.1	GCF_000024125.1	ASM2412v1	313596	Robiginitalea biformata HTCC2501	strain=HTCC2501	latest	Complete Genome	14	14	93.33	0.00
GCF_000024845.1	GCF_000024845.1	ASM2484v1	518766	Rhodothermus marinus DSM 4252	strain=DSM 4252	latest	Complete Genome	14	14	93.33	0.00
GCF_000025125.1	GCF_000025125.1	ASM2512v1	1453429	Candidatus Atelocyanobacterium thalassa isolate ALOHA	strain=ALOHA	latest	Complete Genome	13	13	86.67	0.00
GCF_000021565.1	GCF_000021565.1	ASM2156v1	123214	Persephonella marina EX-H1	strain=EX-H1	latest	Complete Genome	14	14	93.33	0.00
GCF_000025285.1	GCF_000025285.1	ASM2528v1	572546	Archaeoglobus profundus DSM 5631	strain=DSM 5631	latest	Complete Genome	14	14	93.33	0.00
GCF_000024805.1	GCF_000024805.1	ASM2480v1	502025	Haliangium ochraceum DSM 14365	strain=DSM 14365	latest	Complete Genome	14	13	86.67	6.67
GCF_000024825.1	GCF_000024825.1	ASM2482v1	150340	Vibrio antiquarius	strain=EX25	latest	Complete Genome	14	14	93.33	0.00
GCF_000024085.1	GCF_000024085.1	ASM2408v1	523791	Kangiella koreensis DSM 16069	strain=DSM 16069	latest	Complete Genome	14	14	93.33	0.00
GCF_000025725.1	GCF_000025725.1	ASM2572v1	522772	Denitrovibrio acetiphilus DSM 12809	strain=DSM 12809	latest	Complete Genome	14	14	93.33	0.00
GCF_000025945.1	GCF_000025945.1	ASM2594v1	177439	Desulfotalea psychrophila LSv54	strain=LSv54	latest	Complete Genome	12	12	80.00	0.00
GCF_000025905.1	GCF_000025905.1	ASM2590v1	583355	Coraliomargarita akajimensis DSM 45221	strain=DSM 45221	latest	Complete Genome	14	14	93.33	0.00
GCF_000013665.1	GCF_000013665.1	ASM1366v1	203122	Saccharophagus degradans 2-40	strain=2-40	latest	Complete Genome	14	14	93.33	0.00
GCF_000023025.1	GCF_000023025.1	ASM2302v1	377629	Teredinibacter turnerae T7901	strain=T7901	latest	Complete Genome	14	14	93.33	0.00
GCF_000013765.1	GCF_000013765.1	ASM1376v1	318161	Shewanella denitrificans OS217	strain=OS217	latest	Complete Genome	14	14	93.33	0.00
GCF_000063525.1	GCF_000063525.1	ASM6352v1	316278	Synechococcus sp. RCC307	NA	latest	Complete Genome	14	14	93.33	0.00
GCF_000026085.1	GCF_000026085.1	ASM2608v1	166935	Pseudoalteromonas translucida	strain=TAC125	latest	Complete Genome	14	14	93.33	0.00
GCF_000023465.1	GCF_000023465.1	ASM2346v1	655815	Zunongwangia profunda SM-A87	strain=SMA-87	latest	Complete Genome	14	14	93.33	0.00
GCF_000055785.1	GCF_000055785.1	ASM5578v1	290398	Chromohalobacter salexigens DSM 3043	strain=DSM 3043	latest	Complete Genome	14	14	93.33	0.00
GCF_000063505.1	GCF_000063505.1	ASM6350v1	32051	Synechococcus sp. WH 7803	NA	latest	Complete Genome	14	14	93.33	0.00
GCF_000090405.2	GCF_000090405.2	ASM9040v2	761659	Salinibacter ruber M8	strain=M8	latest	Complete Genome	14	13	86.67	6.67
GCF_000020545.1	GCF_000020545.1	ASM2054v1	331678	Chlorobium phaeobacteroides BS1	strain=BS1	latest	Complete Genome	14	14	93.33	0.00
GCF_000143085.1	GCF_000143085.1	ASM14308v1	105559	Nitrosococcus watsonii C-113	strain=C-113	latest	Complete Genome	14	14	93.33	0.00
GCF_000020525.1	GCF_000020525.1	ASM2052v1	517418	Chloroherpeton thalassium ATCC 35110	strain=ATCC 35110	latest	Complete Genome	14	14	93.33	0.00
GCF_000060345.1	GCF_000060345.1	ASM6034v1	411154	Gramella forsetii KT0803	strain=KT0803	latest	Complete Genome	14	14	93.33	0.00
GCF_000092305.1	GCF_000092305.1	ASM9230v1	573063	Methanocaldococcus infernus ME	strain=ME	latest	Complete Genome	14	14	93.33	0.00
GCF_000092465.1	GCF_000092465.1	ASM9246v1	591019	Staphylothermus hellenicus DSM 12710	strain=DSM 12710	latest	Complete Genome	14	14	93.33	0.00
GCF_000147735.2	GCF_000147735.2	ASM14773v3	693974	Shewanella baltica BA175	strain=BA175	latest	Complete Genome	14	14	93.33	0.00
GCF_000091325.1	GCF_000091325.1	ASM9132v1	637905	Shewanella violacea DSS12	strain=DSS12	latest	Complete Genome	14	14	93.33	0.00
GCF_000144645.1	GCF_000144645.1	ASM14464v1	555079	Thermosediminibacter oceani DSM 16646	strain=DSM 16646	latest	Complete Genome	14	14	93.33	0.00
GCF_000152825.2	GCF_000152825.2	ASM15282v2	314260	Parvularcula bermudensis HTCC2503	strain=HTCC2503	latest	Complete Genome	14	14	93.33	0.00
GCF_000147355.1	GCF_000147355.1	ASM14735v1	563040	Sulfurimonas autotrophica DSM 16294	strain=DSM 16294	latest	Complete Genome	14	14	93.33	0.00
GCF_000152945.2	GCF_000152945.2	ASM15294v2	313598	Polaribacter sp. MED152	strain=MED152	latest	Complete Genome	14	14	93.33	0.00
GCF_000152925.2	GCF_000152925.2	ASM15292v3	313590	Dokdonia sp. MED134	strain=MED134	latest	Complete Genome	14	14	93.33	0.00
GCF_000147875.1	GCF_000147875.1	ASM14787v1	679926	Methanolacinia petrolearia DSM 11571	NA	latest	Complete Genome	14	14	93.33	0.00
GCF_000017845.1	GCF_000017845.1	ASM1784v1	43989	Crocosphaera subtropica ATCC 51142	strain=ATCC 51142	latest	Complete Genome	14	14	93.33	0.00
GCF_000015645.1	GCF_000015645.1	ASM1564v1	146891	Prochlorococcus marinus str. AS9601	strain=AS9601	latest	Complete Genome	14	14	93.33	0.00
GCF_000024725.1	GCF_000024725.1	ASM2472v1	472759	Nitrosococcus halophilus Nc 4	strain=Nc 4	latest	Complete Genome	14	14	93.33	0.00
GCF_000151105.2	GCF_000151105.2	ASM15110v2	391623	Thermococcus barophilus MP	strain=MP	latest	Complete Genome	14	14	93.33	0.00
GCF_000153485.2	GCF_000153485.2	ASM15348v2	313595	Psychroflexus torquis ATCC 700755	strain=ATCC 700755	latest	Complete Genome	14	14	93.33	0.00
GCF_000148645.1	GCF_000148645.1	ASM14864v1	550540	Ferrimonas balearica DSM 9799	strain=DSM 9799	latest	Complete Genome	14	14	93.33	0.00
GCF_000025505.1	GCF_000025505.1	ASM2550v1	589924	Ferroglobus placidus DSM 10642	strain=DSM 10642	latest	Complete Genome	14	14	93.33	0.00
GCF_000154745.2	GCF_000154745.2	ASM15474v2	383629	Phaeobacter inhibens 2.10	strain=2.1	latest	Complete Genome	14	14	93.33	0.00
GCF_000161795.2	GCF_000161795.2	ASM16179v2	166314	Synechococcus sp. WH 8109	strain=WH 8109	latest	Complete Genome	14	14	93.33	0.00
GCF_000153165.2	GCF_000153165.2	ASM15316v2	313603	Maribacter sp. HTCC2170	strain=HTCC2170	latest	Complete Genome	14	14	93.33	0.00
GCF_000184705.1	GCF_000184705.1	ASM18470v1	644966	Thermaerobacter marianensis DSM 12885	strain=DSM 12885	latest	Complete Genome	14	14	93.33	0.00
GCF_000155675.2	GCF_000155675.2	ASM15567v2	391626	Octadecabacter antarcticus 307	strain=307	latest	Complete Genome	14	14	93.33	0.00
GCF_000165505.1	GCF_000165505.1	ASM16550v1	572544	Ilyobacter polytropus DSM 2926	strain=DSM 2926	latest	Complete Genome	14	14	93.33	0.00
GCF_000184325.1	GCF_000184325.1	ASM18432v1	903510	Vibrio furnissii NCTC 11218	strain=NCTC 11218	latest	Complete Genome	12	12	80.00	0.00
GCF_000016905.1	GCF_000016905.1	ASM1690v1	391009	Thermosipho melanesiensis BI429	strain=BI429	latest	Complete Genome	14	14	93.33	0.00
GCF_000184345.1	GCF_000184345.1	ASM18434v2	869211	Spirochaeta thermophila DSM 6578	strain=DSM 6578	latest	Complete Genome	14	14	93.33	0.00
GCF_000155735.2	GCF_000155735.2	ASM15573v2	391616	Octadecabacter arcticus 238	strain=238	latest	Complete Genome	14	14	93.33	0.00
GCF_000185805.1	GCF_000185805.1	ASM18580v1	648996	Thermovibrio ammonificans HB-1	strain=HB-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000091665.1	GCF_000091665.1	ASM9166v1	243232	Methanocaldococcus jannaschii DSM 2661	strain=DSM 2661	latest	Complete Genome	14	14	93.33	0.00
GCF_000025525.1	GCF_000025525.1	ASM2552v1	644281	Methanocaldococcus sp. FS406-22	strain=FS406-22	latest	Complete Genome	14	14	93.33	0.00
GCF_000179575.2	GCF_000179575.2	ASM17957v2	647113	Methanothermococcus okinawensis IH1	strain=IH1	latest	Complete Genome	14	14	93.33	0.00
GCF_000191045.1	GCF_000191045.1	ASM19104v1	868864	Desulfurobacterium thermolithotrophum DSM 11699	strain=DSM 11699	latest	Complete Genome	14	14	93.33	0.00
GCF_000186265.1	GCF_000186265.1	ASM18626v1	688270	Cellulophaga algicola DSM 14237	strain=DSM 14237	latest	Complete Genome	14	14	93.33	0.00
GCF_000184065.1	GCF_000184065.1	ASM18406v1	234831	Pseudoalteromonas sp. SM9913	strain=SM9913	latest	Complete Genome	14	14	93.33	0.00
GCF_000154785.2	GCF_000154785.2	ASM15478v2	391595	Roseobacter litoralis Och 149	strain=Och 149	latest	Complete Genome	14	14	93.33	0.00
GCF_000194625.1	GCF_000194625.1	ASM19462v1	693661	Archaeoglobus veneficus SNP6	strain=SNP6	latest	Complete Genome	14	14	93.33	0.00
GCF_000195575.1	GCF_000195575.1	ASM19557v1	208596	Carnobacterium sp. 17-4	strain=17-4	latest	Complete Genome	14	14	93.33	0.00
GCF_000183745.1	GCF_000183745.1	ASM18374v1	670487	Oceanithermus profundus DSM 14977	strain=DSM 14977	latest	Complete Genome	14	14	93.33	0.00
GCF_000195935.2	GCF_000195935.2	ASM19593v2	272844	Pyrococcus abyssi GE5	strain=Orsay	latest	Complete Genome	14	14	93.33	0.00
GCF_000151205.2	GCF_000151205.2	ASM15120v2	246969	Thermococcus sp. AM4	strain=AM4	latest	Complete Genome	14	14	93.33	0.00
GCF_000195975.1	GCF_000195975.1	ASM19597v1	84588	Synechococcus sp. WH 8102	strain=WH 8102	latest	Complete Genome	14	14	93.33	0.00
GCF_000195085.1	GCF_000195085.1	ASM19508v1	1002672	Candidatus Pelagibacter sp. IMCC9063	strain=IMCC9063	latest	Complete Genome	13	13	86.67	0.00
GCF_000183425.1	GCF_000183425.1	ASM18342v1	643867	Marivirga tractuosa DSM 4126	strain=DSM 4126	latest	Complete Genome	14	14	93.33	0.00
GCF_000195335.1	GCF_000195335.1	ASM19533v1	869210	Marinithermus hydrothermalis DSM 14884	strain=DSM 14884	latest	Complete Genome	14	14	93.33	0.00
GCF_000172995.2	GCF_000172995.2	ASM17299v2	469382	Halogeometricum borinquense DSM 11551	strain=DSM 11551	latest	Complete Genome	14	13	86.67	6.67
GCF_000153405.2	GCF_000153405.2	ASM15340v2	314282	Psychromonas sp. CNPT3	strain=CNPT3	latest	Complete Genome	14	14	93.33	0.00
GCF_000178875.2	GCF_000178875.2	ASM17887v2	693973	Shewanella baltica OS678	strain=OS678	latest	Complete Genome	14	14	93.33	0.00
GCF_000186245.1	GCF_000186245.1	ASM18624v1	749222	Nitratifractor salsuginis DSM 16511	strain=DSM 16511	latest	Complete Genome	13	13	86.67	0.00
GCF_000196315.1	GCF_000196315.1	ASM19631v1	216432	Croceibacter atlanticus HTCC2559	strain=HTCC2559	latest	Complete Genome	14	14	93.33	0.00
GCF_000196255.1	GCF_000196255.1	ASM19625v1	298386	Photobacterium profundum SS9	strain=SS9	latest	Complete Genome	14	14	93.33	0.00
GCF_000196395.1	GCF_000196395.1	ASM19639v1	382245	Aeromonas salmonicida subsp. salmonicida A449	strain=A449	latest	Complete Genome	13	13	86.67	0.00
GCF_000196495.1	GCF_000196495.1	ASM19649v1	316275	Aliivibrio salmonicida LFI1238	strain=LFI1238	latest	Complete Genome	14	14	93.33	0.00
GCF_000196655.1	GCF_000196655.1	ASM19665v1	644295	Methanohalobium evestigatum Z-7303	strain=Z-7303	latest	Complete Genome	14	14	93.33	0.00
GCF_000190595.1	GCF_000190595.1	ASM19059v1	867900	Cellulophaga lytica DSM 7489	strain=DSM 7489	latest	Complete Genome	14	14	93.33	0.00
GCF_000209655.1	GCF_000209655.1	ASM20965v1	1007105	Pusillimonas sp. T7-7	strain=T7-7	latest	Complete Genome	14	14	93.33	0.00
GCF_000215995.1	GCF_000215995.1	ASM21599v1	529709	Pyrococcus yayanosii CH1	strain=CH1	latest	Complete Genome	14	14	93.33	0.00
GCF_000204155.1	GCF_000204155.1	ASM20415v1	263358	Verrucosispora maris AB-18-032	strain=AB-18-032	latest	Complete Genome	14	14	93.33	0.00
GCF_000214415.1	GCF_000214415.1	ASM21441v1	880724	Methanotorris igneus Kol 5	strain=Kol 5	latest	Complete Genome	14	14	93.33	0.00
GCF_000215895.1	GCF_000215895.1	ASM21589v1	693970	Shewanella baltica OS117	strain=OS117	latest	Complete Genome	14	14	93.33	0.00
GCF_000214215.1	GCF_000214215.1	ASM21421v1	491952	Marinomonas posidonica IVIA-Po-181	strain=IVIA-Po-181	latest	Complete Genome	14	14	93.33	0.00
GCF_000221005.1	GCF_000221005.1	ASM22100v1	520461	Brucella pinnipedialis B2/94	strain=B2/94	latest	Complete Genome	14	14	93.33	0.00
GCF_000218625.1	GCF_000218625.1	ASM21862v1	717231	Flexistipes sinusarabici DSM 4947	strain=DSM 4947	latest	Complete Genome	14	14	93.33	0.00
GCF_000217795.1	GCF_000217795.1	ASM21779v1	667014	Thermodesulfatator indicus DSM 15286	strain=DSM 15286	latest	Complete Genome	14	14	93.33	0.00
GCF_000221185.1	GCF_000221185.1	ASM22118v1	1042877	Thermococcus sp. 4557	strain=4557	latest	Complete Genome	14	14	93.33	0.00
GCF_000217675.1	GCF_000217675.1	ASM21767v1	882102	Vibrio anguillarum 775	strain=775	latest	Complete Genome	14	14	93.33	0.00
GCF_000219105.1	GCF_000219105.1	ASM21910v1	35	Corallococcus macrosporus	strain=HW-1	latest	Complete Genome	14	14	93.33	0.00
GCF_000212675.2	GCF_000212675.2	ASM21267v2	690850	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay	strain=Walvis Bay	latest	Complete Genome	14	14	93.33	0.00
GCF_000212355.1	GCF_000212355.1	ASM21235v1	983548	Dokdonia sp. 4H-3-7-5	strain=4H-3-7-5	latest	Complete Genome	14	14	93.33	0.00
