assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	NCBI_domain	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species
GCF_000012885.1	GCF_000012885.1_Bacteria_Proteobacteria_Deltaproteobacteria_Pelobacter_carbinolicus_DSM_2380	NCBI	338963	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter carbinolicus
GCF_000012965.1	GCF_000012965.1_Bacteria_Proteobacteria_Epsilonproteobacteria_Sulfurimonas_denitrificans_DSM_1251	NCBI	326298	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas denitrificans
GCF_000012985.1	GCF_000012985.1_Bacteria_Proteobacteria_Gammaproteobacteria_Hahella_chejuensis_KCTC_2396	NCBI	349521	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Hahella	Hahella chejuensis
GCF_000013005.1	GCF_000013005.1_Bacteria_Proteobacteria_Alphaproteobacteria_Erythrobacter_litoralis_HTCC2594	NCBI	314225	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter litoralis
GCF_000013025.1	GCF_000013025.1_Bacteria_Proteobacteria_Alphaproteobacteria_Hyphomonas_neptunium_ATCC_15444	NCBI	228405	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas neptunium
GCF_000013045.1	GCF_000013045.1_Bacteria_Bacteroidetes_NA_Salinibacter_ruber_DSM_13855_M31	NCBI	309807	14	13	86.67	6.67	13	Yes	Bacteria	Bacteroidetes	NA	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Salinibacter	Salinibacter ruber
GCF_000013565.1	GCF_000013565.1_Bacteria_Proteobacteria_Alphaproteobacteria_Jannaschia_sp_CCS1_CCS1	NCBI	290400	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia sp. CCS1
GCF_000013605.1	GCF_000013605.1_Bacteria_Proteobacteria_Betaproteobacteria_Rhodoferax_ferrireducens_DSM_15236	NCBI	338969	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax ferrireducens
GCF_000013665.1	GCF_000013665.1_Bacteria_Proteobacteria_Gammaproteobacteria_Saccharophagus_degradans_2-40	NCBI	203122	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus degradans
GCF_000013765.1	GCF_000013765.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_denitrificans_OS217	NCBI	318161	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella denitrificans
GCF_000013985.1	GCF_000013985.1_Bacteria_Proteobacteria_Alphaproteobacteria_Sphingopyxis_alaskensis_RB2256	NCBI	317655	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis alaskensis
GCF_000014045.1	GCF_000014045.1_Bacteria_Proteobacteria_Alphaproteobacteria_Roseobacter_denitrificans_OCh_114	NCBI	375451	14	14	93.33	0.00	12	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter denitrificans
GCF_000014065.1	GCF_000014065.1_Bacteria_Proteobacteria_Alphaproteobacteria_Ruegeria_sp_TM1040_TM1040	NCBI	292414	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria sp. TM1040
GCF_000014225.1	GCF_000014225.1_Bacteria_Proteobacteria_Gammaproteobacteria_Pseudoalteromonas_atlantica_T6c	NCBI	342610	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas atlantica
GCF_000014265.1	GCF_000014265.1_Bacteria_Cyanobacteria_NA_Trichodesmium_erythraeum_IMS101	NCBI	203124	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae	Trichodesmium	Trichodesmium erythraeum
GCF_000014585.1	GCF_000014585.1_Bacteria_Cyanobacteria_NA_Synechococcus_sp_CC9311_CC9311	NCBI	64471	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CC9311
GCF_000014665.1	GCF_000014665.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_sp_MR-7_MR-7	NCBI	60481	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. MR-7
GCF_000014685.1	GCF_000014685.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_sp_MR-4_MR-4	NCBI	60480	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. MR-4
GCF_000014705.1	GCF_000014705.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_frigidimarina_NCIMB_400	NCBI	318167	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella frigidimarina
GCF_000014745.1	GCF_000014745.1_Bacteria_Proteobacteria_Alphaproteobacteria_Maricaulis_maris_MCS10	NCBI	394221	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Maricaulis	Maricaulis maris
GCF_000014865.1	GCF_000014865.1_Bacteria_Proteobacteria_Alphaproteobacteria_Magnetococcus_marinus_MC-1	NCBI	156889	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Magnetococcales	Magnetococcaceae	Magnetococcus	Magnetococcus marinus
GCF_000014885.1	GCF_000014885.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_piezotolerans_WP3	NCBI	225849	13	13	86.67	0.00	13	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella piezotolerans
GCF_000015105.1	GCF_000015105.1_Bacteria_Proteobacteria_Gammaproteobacteria_Candidatus_Ruthia_magnifica_Cm	NCBI	413404	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Candidatus Ruthia	Candidatus Ruthia magnifica
GCF_000015145.1	GCF_000015145.1_Archaea_Crenarchaeota_Thermoprotei_Hyperthermus_butylicus_DSM_5456	NCBI	415426	14	14	93.33	0.00	8	Yes	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus
GCF_000015185.1	GCF_000015185.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_sp_W3-18-1_W3-18-1	NCBI	351745	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. W3-18-1
GCF_000015245.1	GCF_000015245.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_amazonensis_SB2B	NCBI	326297	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella amazonensis
GCF_000015285.1	GCF_000015285.1_Bacteria_Proteobacteria_Gammaproteobacteria_Psychromonas_ingrahamii_37	NCBI	357804	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas	Psychromonas ingrahamii
GCF_000015365.1	GCF_000015365.1_Bacteria_Proteobacteria_Gammaproteobacteria_Marinobacter_hydrocarbonoclasticus_VT8	NCBI	351348	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter hydrocarbonoclasticus
GCF_000015645.1	GCF_000015645.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_AS9601	NCBI	146891	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000015665.1	GCF_000015665.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_MIT_9515	NCBI	167542	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000015685.1	GCF_000015685.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_NATL1A	NCBI	167555	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000015825.1	GCF_000015825.1_Archaea_Euryarchaeota_Methanomicrobia_Methanoculleus_marisnigri_JR1	NCBI	368407	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus marisnigri
GCF_000015845.1	GCF_000015845.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_baltica_OS155	NCBI	325240	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica
GCF_000015945.1	GCF_000015945.1_Archaea_Crenarchaeota_Thermoprotei_Staphylothermus_marinus_F1	NCBI	399550	14	14	93.33	0.00	8	Yes	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus
GCF_000015965.1	GCF_000015965.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_MIT_9301	NCBI	167546	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000016065.1	GCF_000016065.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_loihica_PV-4	NCBI	323850	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella loihica
GCF_000016085.1	GCF_000016085.1_Bacteria_Chlorobi_Chlorobia_Chlorobium_phaeovibrioides_DSM_265	NCBI	290318	14	14	93.33	0.00	13	Yes	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeovibrioides
GCF_000016165.1	GCF_000016165.1_Bacteria_Firmicutes_Clostridia_Desulfotomaculum_reducens_MI-1	NCBI	349161	14	14	93.33	0.00	14	Yes	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum reducens
GCF_000016425.1	GCF_000016425.1_Bacteria_Actinobacteria_Actinobacteria_Salinispora_tropica_CNB-440	NCBI	369723	14	14	93.33	0.00	12	Yes	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora tropica
GCF_000016885.1	GCF_000016885.1_Bacteria_Proteobacteria_Gammaproteobacteria_Psychrobacter_sp_PRwf-1_PRwf-1	NCBI	349106	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. PRwf-1
GCF_000016905.1	GCF_000016905.1_Bacteria_Thermotogae_Thermotogae_Thermosipho_melanesiensis_BI429	NCBI	391009	14	14	93.33	0.00	13	Yes	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho melanesiensis
GCF_000017165.1	GCF_000017165.1_Archaea_Euryarchaeota_Methanococci_Methanococcus_vannielii_SB	NCBI	406327	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii
GCF_000017185.1	GCF_000017185.1_Archaea_Euryarchaeota_Methanococci_Methanococcus_aeolicus_Nankai-3	NCBI	419665	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus aeolicus
GCF_000017225.1	GCF_000017225.1_Archaea_Euryarchaeota_Methanococci_Methanococcus_maripaludis_C7	NCBI	426368	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000017285.1	GCF_000017285.1_Bacteria_Proteobacteria_Gammaproteobacteria_Marinomonas_sp_MWYL1_MWYL1	NCBI	400668	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas sp. MWYL1
GCF_000017325.1	GCF_000017325.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_baltica_OS185	NCBI	402882	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica
GCF_000017705.1	GCF_000017705.1_Bacteria_Proteobacteria_Gammaproteobacteria_Vibrio_campbellii_ATCC_BAA-1116_BB120	NCBI	338187	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii
GCF_000017845.1	GCF_000017845.1_Bacteria_Cyanobacteria_NA_Crocosphaera_subtropica_ATCC_51142	NCBI	43989	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera subtropica
GCF_000017945.1	GCF_000017945.1_Archaea_Crenarchaeota_Thermoprotei_Ignicoccus_hospitalis_KIN4_I	NCBI	453591	14	14	93.33	0.00	8	Yes	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
GCF_000018025.1	GCF_000018025.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_sediminis_HAW-EB3	NCBI	425104	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sediminis
GCF_000018065.1	GCF_000018065.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_MIT_9215	NCBI	93060	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000018105.1	GCF_000018105.1_Bacteria_Cyanobacteria_NA_Acaryochloris_marina_MBIC11017	NCBI	329726	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris marina
GCF_000018145.1	GCF_000018145.1_Bacteria_Proteobacteria_Alphaproteobacteria_Dinoroseobacter_shibae_DFL_12	NCBI	398580	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Dinoroseobacter	Dinoroseobacter shibae
GCF_000018265.1	GCF_000018265.1_Bacteria_Actinobacteria_Actinobacteria_Salinispora_arenicola_CNS-205	NCBI	391037	14	14	93.33	0.00	12	Yes	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora arenicola
GCF_000018285.1	GCF_000018285.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_pealeana_ATCC_700345	NCBI	398579	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella pealeana
GCF_000018365.1	GCF_000018365.1_Archaea_Euryarchaeota_Thermococci_Thermococcus_onnurineus_NA1	NCBI	523850	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus
GCF_000018485.1	GCF_000018485.1_Archaea_Euryarchaeota_Methanococci_Methanococcus_maripaludis_C6	NCBI	444158	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000018585.1	GCF_000018585.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_MIT_9211	NCBI	93059	14	14	93.33	0.00	13	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000018765.1	GCF_000018765.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_baltica_OS195	NCBI	399599	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica
GCF_000018885.1	GCF_000018885.1_Bacteria_Actinobacteria_Actinobacteria_Renibacterium_salmoninarum_ATCC_33209	NCBI	288705	14	14	93.33	0.00	13	Yes	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium	Renibacterium salmoninarum
GCF_000018945.1	GCF_000018945.1_Bacteria_Thermotogae_Thermotogae_Thermotoga_neapolitana_DSM_4359	NCBI	309803	14	14	93.33	0.00	12	Yes	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga neapolitana
GCF_000019185.1	GCF_000019185.1_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_halifaxensis_HAW-EB4	NCBI	458817	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella halifaxensis
