	TRANSPORT	BREAKDOWN	SYNTHESIS
MMETSP0404_clean	0	0	0
MMETSP0041_clean	0	0	0
MMETSP1425_clean	0	0	0
MMETSP0308_clean	0	0	0
MMETSP0910_clean	0	0	0
MMETSP1432_clean	0	0	0
MMETSP0259_clean	0	0	0
MMETSP1176_clean	0	0	0
MMETSP1465_clean	0	0	0
MMETSP1104_clean	0	0	0
MMETSP0004_clean	0	0	0
MMETSP1172_clean	0	0	0
MMETSP1055_clean	0	0	0
MMETSP1403_clean	0	0	0
MMETSP0574_clean	0	0	0
MMETSP0202_clean	0	0	0
MMETSP0796_clean	0	0	0
MMETSP0797_clean	0	0	0
MMETSP1127_clean	0	0	0
MMETSP1413_clean	0	0	0
MMETSP0991_clean	0	0	0
MMETSP1474_clean	0	0	0
MMETSP1406_clean	0	0	0
MMETSP1123_clean	0	0	0
MMETSP0930_clean	0	0	0
MMETSP0573_clean	0	0	0
MMETSP1013_clean	0	0	0
MMETSP1080_clean	0	0	0
MMETSP1464_clean	0	0	0
MMETSP0891_clean	0	0	0
MMETSP1169_clean	0	0	0
MMETSP1128_clean	0	0	0
MMETSP1155_clean	0	0	0
MMETSP0149_clean	0	0	0
MMETSP1100_clean	0	0	0
MMETSP0942_clean	0	0	0
MMETSP1137_clean	0	0	0
MMETSP0973_clean	0	0	0
MMETSP0413_clean	0	0	0
MMETSP0200_clean	0	0	0
MMETSP1047_clean	0	0	0
MMETSP1394_clean	0	0	0
MMETSP0096_clean	0	0	0
MMETSP0811_clean	0	0	0
MMETSP0417_clean	0	0	0
MMETSP0087_clean	0	0	0
MMETSP1117_clean	0	0	0
MMETSP0603_clean	0	0	0
MMETSP0734_clean	0	0	0
MMETSP0011_clean	0	0	0
MMETSP1401_clean	0	0	0
MMETSP1412_clean	0	0	0
MMETSP1469_clean	0	0	0
MMETSP1035_clean	0	0	0
MMETSP0938_clean	0	0	0
MMETSP0092_clean	0	0	0
MMETSP0820_clean	0	0	0
MMETSP0993_clean	0	0	0
MMETSP0909_clean	0	0	0
MMETSP0160_clean	0	0	0
MMETSP1049_clean	0	0	0
MMETSP1459_clean	0	0	0
MMETSP1388_clean	0	0	0
MMETSP0920_clean	0	0	0
MMETSP1095_clean	0	0	0
MMETSP0120_clean	0	0	0
MMETSP1151_clean	0	0	0
MMETSP0006_clean	0	0	0
MMETSP1473_clean	0	0	0
MMETSP0272_clean	0	0	0
MMETSP0899_clean	0	0	0
MMETSP0151_clean	0	0	0
MMETSP1381_clean	0	0	0
MMETSP0326_clean	0	0	0
MMETSP0912_clean	0	0	0
MMETSP1070_clean	0	0	0
MMETSP0900_clean	0	0	0
MMETSP0014_clean	0	0	0
MMETSP1400_clean	0	0	0
MMETSP1437_clean	0	0	0
MMETSP1447_clean	0	0	0
MMETSP0140_clean	0	0	0
MMETSP1161_clean	0	0	0
MMETSP1043_clean	0	0	0
MMETSP1316_clean	0	0	0
MMETSP1157_clean	0	0	0
MMETSP0790_clean	0	0	0
MMETSP1360_clean	0	0	0
MMETSP0258_clean	0	0	0
MMETSP0746_clean	0	0	0
MMETSP1420_clean	0	0	0
MMETSP1397_clean	0	0	0
MMETSP1452_clean	0	0	0
MMETSP1178_clean	0	0	0
MMETSP1115_clean	0	0	0
MMETSP1361_clean	0	0	0
MMETSP0941_clean	0	0	0
MMETSP0098_clean	0	0	0
MMETSP0924_clean	0	0	0
MMETSP0234_clean	0	0	0
MMETSP1106_clean	0	0	0
MMETSP0267_clean	0	0	0
MMETSP0091_clean	0	0	0
MMETSP0132_clean	0	0	0
MMETSP1417_clean	0	0	0
MMETSP1363_clean	0	0	0
MMETSP0316_clean	0	0	0
MMETSP1408_clean	0	0	0
MMETSP0987_clean	0	0	0
MMETSP1333_clean	0	0	0
MMETSP1345_clean	0	0	0
MMETSP0878_clean	0	0	0
MMETSP1153_clean	0	0	0
MMETSP0288_clean	0	0	0
MMETSP1462_clean	0	0	0
MMETSP0139_clean	0	0	0
MMETSP1096_clean	0	0	0
MMETSP1418_clean	0	0	0
MMETSP0963_clean	0	0	0
MMETSP0171_clean	0	0	0
MMETSP0904_clean	0	0	0
MMETSP1040_clean	0	0	0
MMETSP1389_clean	0	0	0
MMETSP1415_clean	0	0	0
MMETSP0789_clean	0	0	0
MMETSP0169_clean	0	0	0
MMETSP1064_clean	0	0	0
MMETSP0015_clean	0	0	0
MMETSP1152_clean	0	0	0
MMETSP0106_clean	0	0	0
MMETSP1349_clean	0	0	0
MMETSP0727_clean	0	0	0
MMETSP1429_clean	0	0	0
MMETSP0911_clean	0	0	0
MMETSP0717_clean	0	0	0
MMETSP0901_clean	0	0	0
MMETSP0111_clean	0	0	0
MMETSP0411_clean	0	0	0
MMETSP0317_clean	0	0	0
MMETSP0957_clean	0	0	0
MMETSP0914_clean	0	0	0
MMETSP0738_clean	0	1	0
MMETSP0010_clean	0	0	0
MMETSP0056_clean	0	0	0
MMETSP0595_clean	0	0	0
MMETSP0116_clean	0	0	0
MMETSP0368_clean	0	0	0
MMETSP1156_clean	0	0	0
MMETSP0881_clean	0	0	0
MMETSP0114_clean	0	0	0
MMETSP0706_clean	0	0	0
MMETSP0802_clean	0	0	0
MMETSP0371_clean	0	0	0
MMETSP1426_clean	0	0	0
MMETSP1173_clean	0	0	0
MMETSP0726_clean	0	0	0
MMETSP1330_clean	0	0	0
MMETSP0807_clean	0	0	0
MMETSP0125_clean	0	0	0
MMETSP1370_clean	0	0	0
MMETSP0033_clean	0	0	0
MMETSP0109_clean	0	0	0
MMETSP1329_clean	0	0	0
MMETSP0057_clean	0	0	0
MMETSP0990_clean	0	0	0
MMETSP1107_clean	0	0	0
MMETSP0766_clean	0	0	0
MMETSP1435_clean	0	0	0
MMETSP1416_clean	0	0	0
MMETSP0469_clean	0	0	0
MMETSP1038_clean	0	0	0
MMETSP0998_clean	0	0	0
MMETSP0988_clean	0	0	0
MMETSP1445_clean	0	0	0
MMETSP0562_clean	0	0	0
MMETSP1443_clean	0	0	0
MMETSP0983_clean	0	0	0
MMETSP0817_clean	0	0	0
MMETSP0733_clean	0	0	0
MMETSP1177_clean	0	0	0
MMETSP0698_clean	0	0	0
MMETSP0110_clean	0	0	0
MMETSP0753_clean	0	0	0
MMETSP1016_clean	0	0	0
MMETSP0449_clean	0	0	0
MMETSP1105_clean	0	0	0
MMETSP1463_clean	0	0	0
MMETSP0962_clean	0	0	0
MMETSP1098_clean	0	0	0
MMETSP1441_clean	0	0	0
MMETSP1074_clean	0	0	0
MMETSP0908_clean	0	0	0
MMETSP0484_clean	0	0	0
MMETSP0795_clean	0	0	0
MMETSP1362_clean	0	0	0
MMETSP1041_clean	0	0	0
MMETSP0403_clean	0	0	0
MMETSP0949_clean	0	0	0
MMETSP1010_clean	0	0	0
MMETSP1353_clean	0	0	0
MMETSP0150_clean	0	0	0
MMETSP0893_clean	0	0	0
MMETSP0294_clean	0	0	0
MMETSP0145_clean	0	0	0
MMETSP1405_clean	0	0	0
MMETSP0046_clean	0	0	0
MMETSP1083_clean	0	0	0
MMETSP0724_clean	0	0	0
MMETSP0472_clean	0	0	0
MMETSP1352_clean	0	0	0
MMETSP1364_clean	0	0	0
MMETSP0174_clean	0	0	0
MMETSP1365_clean	0	0	0
MMETSP0971_clean	0	0	0
MMETSP0896_clean	0	0	0
MMETSP0879_clean	0	0	0
MMETSP1359_clean	0	0	0
MMETSP0972_clean	0	0	0
MMETSP1323_clean	0	0	0
MMETSP0156_clean	0	0	0
MMETSP0142_clean	0	0	0
MMETSP0123_clean	0	0	0
MMETSP0107_clean	0	0	0
MMETSP1367_clean	0	0	0
MMETSP0029_clean	0	0	0
MMETSP1324_clean	0	0	0
MMETSP0916_clean	0	0	0
MMETSP0108_clean	0	0	0
MMETSP0027_clean	0	0	0
MMETSP1018_clean	0	0	0
MMETSP1089_clean	0	0	0
MMETSP1369_clean	0	0	0
MMETSP1144_clean	0	0	0
MMETSP1143_clean	0	0	0
MMETSP0944_clean	0	0	0
MMETSP1310_clean	0	0	0
MMETSP0382_clean	0	0	0
MMETSP1402_clean	0	0	0
MMETSP1315_clean	0	0	0
MMETSP0956_clean	0	0	0
MMETSP0166_clean	0	0	0
MMETSP0939_clean	0	0	0
MMETSP1140_clean	0	0	0
MMETSP1377_clean	0	0	0
MMETSP1434_clean	0	0	0
MMETSP0121_clean	0	0	0
MMETSP1390_clean	0	0	0
MMETSP0994_clean	0	0	0
MMETSP1012_clean	0	0	0
MMETSP0047_clean	0	0	0
MMETSP0410_clean	0	0	0
MMETSP0295_clean	0	0	0
MMETSP0803_clean	0	0	0
MMETSP1066_clean	0	0	0
MMETSP0814_clean	0	0	0
MMETSP0697_clean	0	0	0
MMETSP0228_clean	0	0	0
MMETSP0725_clean	0	0	0
MMETSP0492_clean	0	0	0
MMETSP1065_clean	0	0	0
MMETSP1006_clean	0	0	0
MMETSP0143_clean	0	0	0
MMETSP1033_clean	0	0	0
MMETSP0974_clean	0	0	0
MMETSP1404_clean	0	0	0
MMETSP1048_clean	0	0	0
MMETSP0970_clean	0	0	0
MMETSP0747_clean	0	0	0
MMETSP0020_clean	0	0	0
MMETSP0019_clean	0	0	0
MMETSP0216_clean	0	0	0
MMETSP1170_clean	0	0	0
MMETSP0031_clean	0	0	0
MMETSP1328_clean	0	0	0
MMETSP1175_clean	0	0	0
MMETSP0985_clean	0	0	0
MMETSP0936_clean	0	0	0
MMETSP1129_clean	0	0	0
MMETSP1102_clean	0	0	0
MMETSP0232_clean	0	0	0
MMETSP0127_clean	0	0	0
MMETSP0491_clean	0	0	0
MMETSP0167_clean	0	0	0
MMETSP1335_clean	0	0	0
MMETSP0897_clean	0	0	0
MMETSP0708_clean	0	0	0
MMETSP0528_clean	0	0	0
MMETSP0101_clean	0	0	0
MMETSP0235_clean	0	0	0
MMETSP0196_clean	0	0	0
MMETSP0752_clean	0	0	0
MMETSP0948_clean	0	0	0
MMETSP0648_clean	0	0	0
MMETSP0905_clean	0	0	0
MMETSP1164_clean	0	0	0
MMETSP0190_clean	0	0	0
MMETSP0161_clean	0	0	0
MMETSP0090_clean	0	0	0
MMETSP0895_clean	0	0	0
MMETSP0946_clean	0	0	0
MMETSP0943_clean	0	0	0
MMETSP0439_clean	0	0	0
MMETSP0053_clean	0	0	0
MMETSP0030_clean	0	0	0
MMETSP0886_clean	0	0	0
MMETSP0735_clean	0	0	0
MMETSP1423_clean	0	0	0
MMETSP1356_clean	0	0	0
MMETSP1451_clean	0	0	0
MMETSP1334_clean	0	0	0
MMETSP1327_clean	0	0	0
MMETSP1116_clean	0	0	0
MMETSP0313_clean	0	0	0
MMETSP0580_clean	0	0	0
MMETSP0315_clean	0	0	0
MMETSP0958_clean	0	0	0
MMETSP0915_clean	0	0	0
MMETSP1167_clean	0	0	0
MMETSP1468_clean	0	0	0
MMETSP0806_clean	0	0	0
MMETSP0903_clean	0	0	0
MMETSP1391_clean	0	0	0
MMETSP1142_clean	0	0	0
MMETSP0369_clean	0	0	0
MMETSP0414_clean	0	0	0
MMETSP1138_clean	0	0	0
MMETSP0707_clean	0	0	0
MMETSP0314_clean	0	0	0
MMETSP1410_clean	0	0	0
MMETSP0152_clean	0	0	0
MMETSP0321_clean	0	0	0
MMETSP0201_clean	0	0	0
MMETSP0882_clean	0	0	0
MMETSP1456_clean	0	0	0
MMETSP0503_clean	0	0	0
MMETSP0158_clean	0	0	0
MMETSP0463_clean	0	0	0
MMETSP0804_clean	0	0	0
MMETSP1424_clean	0	0	0
MMETSP0325_clean	0	0	0
MMETSP1009_clean	0	0	0
MMETSP1094_clean	0	0	0
MMETSP0370_clean	0	0	0
MMETSP0405_clean	0	0	0
MMETSP0009_clean	0	0	0
MMETSP1034_clean	0	0	0
MMETSP0448_clean	0	0	0
MMETSP0982_clean	0	0	0
MMETSP0758_clean	0	0	0
MMETSP1084_clean	0	0	0
MMETSP1339_clean	0	0	0
MMETSP0164_clean	0	0	0
MMETSP0740_clean	0	0	0
MMETSP0268_clean	0	0	0
MMETSP1309_clean	0	0	0
MMETSP0287_clean	0	0	0
MMETSP0884_clean	0	0	0
MMETSP1163_clean	0	0	0
MMETSP0997_clean	0	0	0
MMETSP1136_clean	0	0	0
MMETSP0384_clean	0	0	0
MMETSP0989_clean	0	0	0
MMETSP0191_clean	0	0	0
MMETSP0043_clean	0	0	0
MMETSP1124_clean	0	0	0
MMETSP1311_clean	0	0	0
MMETSP0319_clean	0	0	0
MMETSP0045_clean	0	0	0
MMETSP1166_clean	0	0	0
MMETSP1440_clean	0	0	0
MMETSP1071_clean	0	0	0
MMETSP0850_clean	0	0	0
MMETSP0113_clean	0	0	0
MMETSP1180_clean	0	0	0
MMETSP0103_clean	0	0	0
MMETSP0126_clean	0	0	0
MMETSP1354_clean	0	0	0
MMETSP0468_clean	0	0	0
MMETSP0954_clean	0	0	0
MMETSP1054_clean	0	0	0
MMETSP0397_clean	0	0	0
MMETSP1122_clean	0	0	0
MMETSP1320_clean	0	0	0
MMETSP1081_clean	0	0	0
MMETSP0206_clean	0	0	0
MMETSP0039_clean	0	0	0
MMETSP0815_clean	0	0	0
MMETSP0040_clean	0	0	0
MMETSP0359_clean	0	0	0
MMETSP0784_clean	0	0	0
MMETSP1386_clean	0	0	0
MMETSP0785_clean	0	0	0
MMETSP0892_clean	0	0	0
MMETSP1393_clean	0	0	0
MMETSP0945_clean	0	0	0
MMETSP1075_clean	0	0	0
MMETSP1131_clean	0	0	0
MMETSP0327_clean	0	0	0
MMETSP1325_clean	0	0	0
MMETSP1428_clean	0	0	0
MMETSP0329_clean	0	0	0
MMETSP1162_clean	0	0	0
MMETSP0739_clean	0	0	0
MMETSP0416_clean	0	0	0
MMETSP1347_clean	0	0	0
MMETSP0205_clean	0	0	0
MMETSP1414_clean	0	0	0
MMETSP0888_clean	0	0	0
MMETSP0052_clean	0	0	0
MMETSP0008_clean	0	0	0
MMETSP1346_clean	0	0	0
MMETSP0233_clean	0	0	0
MMETSP0118_clean	0	0	0
MMETSP1141_clean	0	0	0
MMETSP0208_clean	0	0	0
MMETSP0883_clean	0	0	0
MMETSP0918_clean	0	0	0
MMETSP1015_clean	0	0	0
MMETSP0147_clean	0	0	0
MMETSP0959_clean	0	0	0
MMETSP1067_clean	0	0	0
MMETSP1091_clean	0	0	0
MMETSP0013_clean	0	0	0
MMETSP1385_clean	0	0	0
MMETSP0253_clean	0	0	0
MMETSP1139_clean	0	0	0
MMETSP1348_clean	0	0	0
MMETSP0995_clean	0	0	0
MMETSP0420_clean	0	0	0
MMETSP0324_clean	0	0	0
MMETSP1318_clean	0	0	0
MMETSP1453_clean	0	0	0
MMETSP1037_clean	0	0	0
MMETSP1085_clean	0	0	0
MMETSP0119_clean	0	0	0
MMETSP1060_clean	0	0	0
MMETSP0447_clean	0	0	0
MMETSP0906_clean	0	0	0
MMETSP0937_clean	0	0	0
MMETSP0146_clean	0	0	0
MMETSP0367_clean	0	0	0
MMETSP0885_clean	0	0	0
MMETSP1358_clean	0	0	0
MMETSP0745_clean	0	0	0
MMETSP0975_clean	0	0	0
MMETSP0754_clean	0	0	0
MMETSP0224_clean	0	0	0
MMETSP0965_clean	0	0	0
MMETSP1470_clean	0	0	0
MMETSP0913_clean	0	0	0
MMETSP0437_clean	0	0	0
MMETSP0102_clean	0	0	0
MMETSP1103_clean	0	0	0
MMETSP0689_clean	0	0	0
MMETSP0436_clean	0	0	0
MMETSP0055_clean	0	0	0
MMETSP1126_clean	0	0	0
MMETSP0992_clean	0	0	0
MMETSP0451_clean	0	0	0
MMETSP0996_clean	0	0	0
MMETSP1460_clean	0	0	0
MMETSP0853_clean	0	0	0
MMETSP0296_clean	0	0	0
MMETSP0977_clean	0	0	0
MMETSP0809_clean	0	0	0
MMETSP0851_clean	0	0	0
MMETSP1317_clean	0	0	0
MMETSP0034_clean	0	0	0
MMETSP1001_clean	0	0	0
MMETSP0649_clean	0	0	0
MMETSP0269_clean	0	0	0
MMETSP0168_clean	0	0	0
MMETSP1392_clean	0	0	0
MMETSP0361_clean	0	0	0
MMETSP1008_clean	0	0	0
MMETSP0494_clean	0	0	0
MMETSP0563_clean	0	0	0
MMETSP1344_clean	0	0	0
MMETSP0917_clean	0	0	0
MMETSP1017_clean	0	0	0
MMETSP0902_clean	0	0	0
MMETSP0933_clean	0	0	0
MMETSP0290_clean	0	0	0
MMETSP1475_clean	0	0	0
MMETSP0042_clean	0	0	0
MMETSP0604_clean	0	0	0
MMETSP0292_clean	0	0	0
MMETSP0017_clean	0	0	0
MMETSP0961_clean	0	0	0
MMETSP0213_clean	0	0	0
MMETSP0005_clean	0	0	0
MMETSP1082_clean	0	0	0
MMETSP1110_clean	0	0	0
MMETSP0154_clean	0	0	0
MMETSP0713_clean	0	0	0
MMETSP1036_clean	0	0	0
MMETSP1062_clean	0	0	0
MMETSP1467_clean	0	0	0
MMETSP1068_clean	0	0	0
MMETSP0890_clean	0	0	0
MMETSP1387_clean	0	0	0
MMETSP1355_clean	0	0	0
MMETSP1059_clean	0	0	0
MMETSP1438_clean	0	0	0
MMETSP1409_clean	0	0	0
MMETSP0786_clean	0	0	0
MMETSP0744_clean	0	0	0
MMETSP1132_clean	0	0	0
MMETSP1471_clean	0	0	0
MMETSP0493_clean	0	0	0
MMETSP0038_clean	0	0	0
MMETSP1086_clean	0	0	0
MMETSP1338_clean	0	0	0
MMETSP0819_clean	0	0	0
MMETSP1446_clean	0	0	0
MMETSP0947_clean	0	0	0
MMETSP0097_clean	0	0	0
MMETSP1444_clean	0	0	0
MMETSP1160_clean	0	0	0
MMETSP0929_clean	0	0	0
MMETSP0270_clean	0	0	0
MMETSP0964_clean	0	0	0
MMETSP1449_clean	0	0	0
MMETSP1039_clean	0	0	0
MMETSP0799_clean	0	0	0
MMETSP1322_clean	0	0	0
MMETSP0176_clean	0	0	0
MMETSP0800_clean	0	0	0
MMETSP0986_clean	0	0	0
MMETSP0470_clean	0	0	0
MMETSP0984_clean	0	0	0
MMETSP0880_clean	0	0	0
MMETSP0932_clean	0	0	0
MMETSP0794_clean	0	0	0
MMETSP0059_clean	0	0	0
MMETSP1114_clean	0	0	0
MMETSP1472_clean	0	0	0
MMETSP1154_clean	0	0	0
MMETSP1159_clean	0	0	0
MMETSP1005_clean	0	0	0
MMETSP1336_clean	0	0	0
MMETSP0104_clean	0	0	0
MMETSP1436_clean	0	0	0
MMETSP1090_clean	0	0	0
MMETSP0198_clean	0	0	0
MMETSP0210_clean	0	0	0
MMETSP1150_clean	0	0	0
MMETSP1312_clean	0	0	0
MMETSP0112_clean	0	0	0
MMETSP0360_clean	0	0	0
MMETSP0419_clean	0	0	0
MMETSP0099_clean	0	0	0
MMETSP0960_clean	0	0	0
MMETSP1442_clean	0	0	0
MMETSP0173_clean	0	0	0
MMETSP1450_clean	0	0	0
MMETSP0322_clean	0	0	0
MMETSP0578_clean	0	0	0
MMETSP0810_clean	0	0	0
MMETSP0372_clean	0	0	0
MMETSP1061_clean	0	0	0
MMETSP1130_clean	0	0	0
MMETSP0063_clean	0	0	0
MMETSP1466_clean	0	0	0
MMETSP0323_clean	0	0	0
MMETSP1050_clean	0	0	0
MMETSP1101_clean	0	0	0
MMETSP0312_clean	0	0	0
MMETSP0889_clean	0	0	0
MMETSP0007_clean	0	0	0
MMETSP0271_clean	0	0	0
MMETSP1052_clean	0	0	0
MMETSP0737_clean	0	0	0
MMETSP0286_clean	0	0	0
MMETSP1125_clean	0	0	0
MMETSP0894_clean	0	0	0
MMETSP0699_clean	0	0	0
MMETSP0058_clean	0	0	0
MMETSP0696_clean	0	0	0
MMETSP1019_clean	0	0	0
MMETSP0093_clean	0	0	0
MMETSP1433_clean	0	0	0
MMETSP0736_clean	0	0	0
MMETSP0418_clean	0	0	0
